  PID   UID ARGS                       
 5076     0 [stk_alps_wq]
 5090  5013 com.sec.location.nsflp2
 5114 10280 com.google.android.gms
 5119     0 [zram0_wbd]
 5147     0 thermal-engine-v2
 5156     0 [irq/415-dwc3]
 5384 10134 com.samsung.android.mcfserver
 5508 10290 com.google.android.googlequicksearchbox:interactor
 5535 10136 com.samsung.android.smartsuggestions
 5539 10276 com.google.android.as
 5548 10335 com.google.android.providers.media.module
 5635 10286 com.google.android.apps.messaging:rcs
 5675  1000 com.qualcomm.qti.services.systemhelper:systemhelper_service
 5688  1000 com.sec.android.diagmonagent
 5711  1000 com.sec.android.sdhms
 5768 10316 com.qualcomm.location
 5806 10074 android.process.media
 5807     0 [qrtr_rx]
 5866     0 [irq/437-gh_dbl_rx_4]
 5867     0 [irq/484-gh_dbl_rx_3]
 5870     0 [irq/485-gh_dbl_rx_7]
 5943     0 [vm45_vcpu_wq]
 6041  5009 com.samsung.android.scpm
 6046 10136 com.samsung.android.smartsuggestions:search
 6193  5279 com.samsung.android.spayfw
 6357 10290 com.google.android.googlequicksearchbox:search
 6411  1000 com.samsung.android.lool
 6595 10290 com.google.android.googlequicksearchbox:googleapp
 6939  1000 com.wssyncmldm
 7379 10106 com.samsung.android.server.wifi.mobilewips
 7776 10125 com.samsung.android.carkey
 7987  1000 vendor.samsung.hardware.tlc.blockchain@1.0-service
 7989 10074 com.samsung.android.providers.media
 8461 10331 com.google.android.permissioncontroller
 9266 10094 com.samsung.klmsagent
 9810 10348 com.samsung.android.oneconnect:BeaconManagerControlService
10554 10313 com.google.android.setupwizard
10944  5006 com.samsung.android.beaconmanager
11137 10053 com.samsung.android.service.aircommand
11461 10085 com.sec.android.app.samsungapps
11915  1020 mdnsd
13450  1000 com.samsung.euicc
13708  1000 com.samsung.android.wifi.ai
13799 10262 com.samsung.android.net.wifi.wifiguider
13897  1000 com.samsung.android.globalpostprocmgr
13935 10216 com.samsung.android.privateaccesstokens
13963 10117 com.samsung.android.rubin.app
14070 10287 com.android.vending
14148  1000 com.samsung.android.sm.provider
14165 10204 com.samsung.android.mocca
14210 10287 com.android.vending:background
14313     0 [dio/dm-63]
14314  1000 com.skms.android.agent:remote
14408 10049 com.android.systemui:edgelighting
14477 10286 com.google.android.apps.messaging
14524 10289 com.google.android.apps.turbo:aab
14631  5023 com.samsung.android.networkdiagnostic
14646  1000 com.samsung.android.dqagent
14795 10334 com.google.android.photopicker
14836     0 [kworker/4:0-events]
14947     0 [kworker/6:0-mm_percpu_wq]
14967 10289 com.google.android.apps.turbo
15024 99001 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
15060 10327 com.google.android.adservices.api
15110 10304 com.google.android.webview:webview_service
15166  2000 logcat -v time
15202  1000 com.android.settings
15365  1000 com.samsung.sait.sohservice
15487     0 [kworker/3:0-mm_percpu_wq]
15520 10305 com.google.android.youtube
15637 10049 com.samsung.android.app.aodservice
15661 10355 com.sec.android.app.sbrowser
15702 10211 com.samsung.android.app.parentalcare
15761 99002 com.sec.android.app.sbrowser:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:
15871 10239 com.sec.android.daemonapp
15901 10072 com.samsung.android.dkey
15960 10196 com.samsung.android.honeyboard
16081  1000 com.samsung.android.stickercenter
16101 10121 com.osp.app.signin
16612 10120 com.sec.spp.push
16648  1000 com.sec.android.CcInfo
16649 10088 com.samsung.android.game.gos
16677 10188 com.samsung.android.fast
16736     0 [kworker/5:1-five_wq]
16780 10278 com.google.android.configupdater
16781 10187 com.facebook.appmanager
16782  5004 com.samsung.cmh
16796  5004 com.samsung.faceservice
16804     0 [kworker/7:0]
16807 10103 com.samsung.mfcontents
16822 10105 com.samsung.mediasearch
16932 10130 com.sec.android.gallery3d
16975 10083 com.facebook.system
17010     0 [kworker/0:1H-kblockd]
17066     0 [kworker/2:2-five_wq]
17125     0 [kworker/u17:1-qmi_msg_handler]
17147     0 [kworker/1:2-pm]
17149 10115 com.samsung.android.privacydashboard
17260     0 [kworker/0:0-events]
17261     0 [kworker/u17:0-hal_register_write_wq]
17266     0 [kworker/u16:3-memlat_wq]
17352     0 [kworker/6:1]
17368     0 [kworker/u16:4-blk_sec_common]
17458 10112 com.microsoft.skydrive
17510 10163 com.microsoft.appmanager:auth
17550 10099 com.samsung.android.mdx
17551 10163 com.microsoft.appmanager
17590 10049 com.samsung.android.app.routines
17881 10333 com.google.android.cellbroadcastreceiver
17972     0 [kworker/4:2-events]
17980     0 [kworker/u17:4-hal_register_write_wq]
18132 10280 com.google.android.gms.unstable
18273  2000 abb
18295 10247 com.samsung.android.sm.devicesecurity
18362  1000 com.android.keychain
18399  1000 com.samsung.android.provider.filterprovider
18514     0 [kworker/5:2-events]
18558     0 [kworker/u16:0-ufs_clkscaling_0]
18569     0 [kworker/0:1-events]
18605     0 [kworker/2:1-events]
18620     0 [kworker/3:1]
18668     0 [kworker/1:1-events]
18743     0 [kworker/4:1]
18773     0 [kworker/0:2-events]
18777     0 [kworker/u17:2-ufs_clk_gating_0]
18817     0 [kworker/2:0-events]
18868     0 [kworker/5:0]
18902     0 [kworker/1:0-events]
18903  2000 ps -A -o PID,UID,ARGS
